Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
2251, CP20-104138, Japanese Patent    Corning Inc. (US), 1990, A225343, , 3.71, 2.17, , 2.39, 13.88, , , , 10.35
2252, CP20-104139, Japanese Patent    Corning Inc. (US), 1990, A225343, , 3.71, 2.17, , 2.39, 13.88, , , , 23.46
2253, CP20-104140, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.07, , , 4.42, 6.71, , , 21.39
2254, CP20-104141, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.07, , , 4.42, 6.71, , , 16.56
2255, CP20-104142, Japanese Patent    Corning Inc. (US), 1990, A225343, 1.23, , 2.08, , , 4.44, 6.74, , , 22.08
2256, CP20-104143, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.04, , , 4.96, 4.71, , , 26.91
2257, CP20-104144, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.04, , , 4.96, 4.71, , , 29.6
2258, CP20-104145, Japanese Patent    Corning Inc. (US), 1990, A225343, 1.23, , 2.08, , , 4.44, 6.74, , , 16.97
2259, CP20-104146, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.04, , , 4.96, 4.71, , , 16.15
2260, CP20-104147, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.04, , , 4.96, 4.71, , , 19.53
2261, CP20-104148, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.15, , , 6.54, , , , 6.693
2262, CP20-104149, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 1.54, , , 4.36, 4.92, , , 11.52
2263, CP20-104150, Japanese Patent    Corning Inc. (US), 1990, A225343, *, , *, , , *, *, , , 16.84
2264, CP20-104151, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 1.7, , , 5.67, , , , 5.658
2265, CP20-104152, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.07, , , 4.42, 6.71, , , 21.39
2266, CP20-104153, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.07, , , 4.42, 6.71, , , 20.01
2267, GP38-104212, Japanese Patent, 1990, A239136, 6.98, , 7.17, 3.76, 45.31, , , , , 205.8
2268, GP20-104623, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.78, , , , , , , 72.0
2269, GP20-104624, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.72, 2.04, , , , , , 75.0
2270, GP20-104625, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.69, 3.05, , , , , , 74.0
2271, GP20-104626, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.64, 5.06, , , , , , 73.0
2272, GP20-104627, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.59, 6.59, , , , , , 66.0
2273, GP20-104628, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.61, , , , , , , 70.0
2274, GP20-104629, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.58, 1.06, , , , , , 71.0
2275, GP20-104630, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.55, 2.12, , , , , , 73.0
2276, GP20-104631, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.53, 3.17, , , , , , 74.0
2277, GP20-104632, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.5, 4.21, , , , , , 73.0
2278, GP20-104633, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.47, 5.25, , , , , , 73.0
2279, GP20-104634, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.44, 6.28, , , , , , 71.0
2280, GP20-104635, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.38, 8.53, , , , , , 62.0
2281, GP20-104636, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.49, , , , , , , 70.0
2282, GP20-104637, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.44, 2.17, , , , , , 72.0
2283, GP20-104638, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.41, 3.24, , , , , , 73.0
2284, GP20-104639, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.35, 5.37, , , , , , 72.0
2285, GP20-104640, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.37, , , , , , , 70.0
2286, GP20-104641, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.31, 2.22, , , , , , 72.0
2287, GP20-104642, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.28, 3.32, , , , , , 73.0
2288, GP20-104643, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.22, 5.5, , , , , , 72.0
2289, GP20-104644, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.61, , , , , , , 59.0
2290, GP20-104645, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.6, 1.06, , , , , , 61.0
2291, GP20-104646, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.55, 2.12, , , , , , 65.0
2292, GP20-104647, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.53, 3.17, , , , , , 67.0
2293, GP20-104648, Japanese Patent    Schott Corp. (US), 1990, A307842, , , 10.5, 4.21, , , , , , 69.0
2294, GP20-106415, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.18, , , , , , , 72.0
2295, GP20-106416, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.49, , , , , , , 70.0
2296, GP20-106417, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.37, , , , , , , 70.0
2297, GP20-106418, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.19, , , 3.37, , , , 72.0
2298, GP20-106419, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.23, , , 4.9, , , , 71.0
2299, GP20-106420, US Patent    Schott Corp. (US), 1990, A4929387, , 3.16, 10.96, , , , , , , 70.0
2300, GP20-106421, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.55, 2.12, , , , , , 73.0
2301, GP20-106422, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.53, 3.17, , , , , , 74.0
2302, GP20-106423, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.5, 4.21, , , , , , 73.0
2303, GP20-106424, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.47, 5.25, , , , , , 73.0
2304, GP20-106425, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.54, , 1.47, , , , , 70.0
2305, GP20-106426, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.63, , , , , , , 70.0
2306, GP20-106427, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.44, , , 3.22, , , , 71.0
2307, GP20-106428, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.35, , , 4.79, , , , 72.0
2308, GP20-106429, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.41, , , 3.74, , , , 71.0
2309, GP20-106430, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.26, , , , 4.81, , , 68.0
2310, GP20-106431, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.1, , , , 7.1, , , 65.0
2311, GP20-106432, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.44, , , , 2.44, , , 70.0
2312, GP20-106433, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.47, , 2.92, , , , , 71.0
2313, GP20-106434, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.4, , 4.35, , , , , 71.0
2314, GP20-106435, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.33, , 5.76, , , , , 71.0
2315, GP20-106436, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.26, , 7.15, , , , , 70.0
2316, GP20-106437, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.21, , , , , , , 71.0
2317, GP20-106438, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.03, , , , , , , 71.0
2318, GP20-106439, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.85, , , , , , , 70.0
2319, GP20-106440, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.96, , , , , , , 70.0
2320, GP20-106441, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.67, , , , , , , 69.0
2321, GP20-106442, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.39, , , , , , , 68.0
2322, GP20-106443, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.33, , , , , , , 71.0
2323, GP20-106444, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.2, , , , , , , 72.0
2324, GP20-106445, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.94, , , , , , , 69.0
2325, GP20-106446, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.81, , , , , , , 68.0
2326, GP20-106447, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.49, , , , , , , 70.0
2327, GP20-106448, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.94, , , , , , , 70.0
2328, GP20-106449, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.37, , , , , , , 70.0
2329, GP20-106450, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.81, , , , , , , 70.0
2330, GP20-106451, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.26, , , 6.48, , , , 61.0
2331, GP20-106452, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.91, , , 4.21, 6.4, , , 62.0
2332, GP20-106453, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.92, , , , 9.53, , , 62.0
2333, GP20-106454, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.92, , , 12.54, , , , 59.0
2334, GP20-106455, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.61, , , 6.07, 9.23, , , 56.0
2335, GP20-106456, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.32, , , , 17.89, , , 51.0
2336, GP20-106457, US Patent    Schott Corp. (US), 1990, A4929387, , , 10.58, 1.06, , , , , , 71.0
2337, GP20-106458, US Patent    Schott Corp. (US), 1990, A4929387, , , 13.05, , , , , , , 72.0
2338, GP20-106459, US Patent    Schott Corp. (US), 1990, A4929387, , , 8.08, , , , , , , 66.0
2339, GP38-106813, US Patent, 1990, A4957883, 19.53, , 20.93, 6.9, 32.62, , , , , 127.4
2340, GP38-106814, US Patent, 1990, A4957883, 14.69, , 7.2, 3.7, 44.46, , , , , 132.3
2341, GP38-106815, US Patent, 1990, A4957883, 19.53, , 20.93, 6.9, 32.62, , , , , 132.3
2342, GP38-106816, US Patent, 1990, A4957883, 3.29, , 7.68, 3.75, 50.3, , , , , 144.1
2343, GP38-106817, US Patent, 1990, A4957883, 16.6, , 20.28, 6.68, 31.61, , , , , 123.5
2344, GP38-106818, US Patent, 1990, A4957883, 28.99, , 6.11, , 46.81, , , , , 151.9
2345, GP38-106819, US Patent, 1990, A4957883, 37.77, , 8.15, 3.22, 41.88, , , , , 99.96
2346, GP38-106820, US Patent, 1990, A4957883, 27.57, , 7.06, 3.64, 41.68, , , , , 112.7
2347, GP38-106821, US Patent, 1990, A4957883, 23.13, , 6.94, 3.58, 43.5, , , , , 114.7
2348, GP38-106822, US Patent, 1990, A4957883, 14.69, , 7.2, 3.7, 44.46, , , , , 149.0
2349, GP38-106823, US Patent, 1990, A4957883, 14.18, , 6.95, 3.57, 41.77, , , , , 157.8
2350, GP38-106824, US Patent, 1990, A4957883, 6.98, , 7.17, 3.76, 45.31, , , , , 205.8
2351, GP38-106825, US Patent, 1990, A4957883, 6.75, , 6.93, 3.63, 42.71, , , , , 198.0
2352, GP38-106826, US Patent, 1990, A4957883, 9.11, , 7.51, 3.71, 49.65, , , , , 148.0
2353, GP38-106827, US Patent, 1990, A4957883, 14.63, , 4.6, 4.24, 52.69, , , , , 119.6
2354, GP38-106828, US Patent, 1990, A4957883, 3.29, , 7.68, 3.75, 50.3, , , , , 185.2
2355, GP38-106829, US Patent, 1990, A4957883, 25.58, , 7.55, 7.46, 29.46, , , , , 146.0
2356, GP38-106830, US Patent, 1990, A4957883, 17.16, , 7.73, 7.64, 30.06, , , , , 186.2
2357, GP38-106831, US Patent, 1990, A4957883, 13.12, , 21.02, 3.44, 37.49, , , , , 118.6
2358, GP38-106832, US Patent, 1990, A4957883, 7.3, , 21.18, 3.48, 37.96, , , , , 152.9
2359, GP38-106833, US Patent, 1990, A4957883, 13.75, , 21.22, 7.0, 33.08, , , , , 118.6
2360, GP38-106834, US Patent, 1990, A4957883, 7.9, , 21.54, 7.07, 33.46, , , , , 141.1
2361, GP38-106835, US Patent, 1990, A4957883, 21.48, , 7.17, 8.98, 37.4, , , , , 116.6
2362, GP38-106836, US Patent, 1990, A4957883, 9.94, , 7.43, 9.21, 38.43, , , , , 158.8
2363, GP38-106837, US Patent, 1990, A4957883, 9.48, , 7.09, 8.79, 35.18, , , , , 175.4
2364, GP38-106838, US Patent, 1990, A4957883, 6.82, , 7.39, 7.67, 40.67, , , , , 214.6
2365, GP38-106839, US Patent, 1990, A4957883, 33.02, , 12.1, 1.84, 26.21, , , , , 123.5
2366, GP38-106840, US Patent, 1990, A4957883, 3.4, , 43.02, , 19.41, , , , , 151.9
2367, GP38-106841, US Patent, 1990, A4957883, 14.62, , 7.09, 3.68, 46.12, , , , , 147.0
2368, GP38-106842, US Patent, 1990, A4957883, 14.5, , 7.11, 3.65, 42.31, , , , , 138.2
2369, GP38-106843, US Patent, 1990, A4957883, 14.3, , 7.01, 3.6, 41.73, , , , , 144.1
2370, GP38-106844, US Patent, 1990, A4957883, 19.52, , 2.9, 3.39, 44.26, , , , , 134.3
2371, GP38-106845, US Patent, 1990, A4957883, 16.55, , 3.99, 3.15, 41.18, , , , , 146.0
2372, GP38-106846, US Patent, 1990, A4957883, 4.67, , 9.36, 3.55, 40.95, , , , , 184.2
2373, GP38-106847, US Patent, 1990, A4957883, 4.62, , 13.08, 3.88, 40.29, , , , , 171.5
2374, GP38-106848, US Patent, 1990, A4957883, 18.15, , 0.89, 3.82, 47.04, , , , , 149.0
2375, GP38-106849, US Patent, 1990, A4957883, 13.86, , 1.02, 3.84, 47.51, , , , , 157.8
2376, GP38-106850, US Patent, 1990, A4957883, 26.87, , 1.83, 3.74, 42.6, , , , , 118.6
2377, GP38-106851, US Patent, 1990, A4957883, 15.57, , 2.0, 3.84, 43.6, , , , , 174.4
2378, GP38-106852, US Patent, 1990, A4957883, 20.39, , 2.87, 3.76, 46.78, , , , , 134.3
2379, GP38-106853, US Patent, 1990, A4957883, 13.75, , 1.9, 3.86, 47.97, , , , , 158.8
2380, GP38-106854, US Patent, 1990, A4957883, 22.88, , 3.79, 3.75, 39.65, , , , , 150.9
2381, GP38-106855, US Patent, 1990, A4957883, 28.48, , 3.76, 3.69, 39.0, , , , , 119.6
2382, GP38-106856, US Patent, 1990, A4957883, 8.5, , 4.76, 3.82, 46.68, , , , , 225.4
2383, GP38-106857, US Patent, 1990, A4957883, 17.76, , 5.61, 3.74, 45.43, , , , , 139.2
2384, GP38-106858, US Patent, 1990, A4957883, 10.6, , 5.81, 3.75, 46.12, , , , , 166.6
2385, GP38-106859, US Patent, 1990, A4957883, 3.46, , 39.53, , 32.58, , , , , 119.6
2386, GP38-106860, US Patent, 1990, A4957883, 1.35, , 39.67, , 32.76, , , , , 130.3
2387, GP38-106861, US Patent, 1990, A4957883, 3.71, , 37.56, 0.29, 33.44, , , , , 123.5
2388, GP38-106862, US Patent, 1990, A4957883, 3.24, , 41.6, 1.26, 30.15, , , , , 123.5
2389, GP38-106863, US Patent, 1990, A4957883, , , 47.11, , 20.85, , , , , 135.2
2390, GP38-106864, US Patent, 1990, A4957883, , 1.52, 47.25, , 21.4, , , , , 132.3
2391, GP38-106865, US Patent, 1990, A4957883, 8.65, , 2.91, 0.36, 45.51, , , , , 243.0
2392, GP38-106866, US Patent, 1990, A4957883, 6.04, , 2.19, 1.57, 50.14, , , , , 232.3
2393, GP38-106867, US Patent, 1990, A4957883, 1.81, , 7.33, 3.79, 45.81, , , , , 239.1
2394, GP38-106874, US Patent, 1990, A4957883, 54.19, , 28.29, , 7.78, , , , , 108.8
2395, GP38-106875, US Patent, 1990, A4957883, 54.86, , 30.03, 8.9, , , , , , 101.9
2396, GP38-106876, US Patent, 1990, A4957883, 64.77, , 22.89, 6.03, , , , , , 94.08
2397, GP38-106877, US Patent, 1990, A4957883, 12.91, , 19.82, , 44.14, , , , , 143.1
2398, GP38-106878, US Patent, 1990, A4957883, 12.82, , 18.31, , 43.84, , , , , 146.0
2399, GP38-106879, US Patent, 1990, A4957883, 9.97, , 5.46, 2.21, 43.36, , , , , 161.7
2400, GP38-106880, US Patent, 1990, A4957883, 10.47, , 5.73, 3.43, 45.54, , , , , 166.6
2401, GP38-106881, US Patent, 1990, A4957883, 6.79, , 6.66, 7.62, 40.45, , , , , 166.6
2402, GP38-106882, US Patent, 1990, A4957883, 9.68, , 7.24, 8.97, 35.9, , , , , 156.8
2403, GP38-106883, US Patent, 1990, A4957883, 9.56, , 7.14, 8.85, 34.69, , , , , 155.8
2404, GP20-107706, European Patent, 1990, A0356746, , , 10.63, , , , , , , 70.0
2405, GP20-107707, European Patent, 1990, A0356746, , , 10.44, , , 3.22, , , , 71.0
2406, GP20-107708, European Patent, 1990, A0356746, , , 10.35, , , 4.79, , , , 72.0
2407, GP20-107709, European Patent, 1990, A0356746, , , 10.41, , , 3.74, , , , 71.0
2408, GP20-107710, European Patent, 1990, A0356746, , , 10.44, , , 3.22, , , , 68.0
2409, GP20-107711, European Patent, 1990, A0356746, , , 10.35, , , 4.79, , , , 65.0
2410, GP20-107712, European Patent, 1990, A0356746, , , 10.52, , , 1.62, , , , 70.0
2411, GP20-107713, European Patent, 1990, A0356746, , , 10.18, , , , , , , 72.0
2412, GP20-107714, European Patent, 1990, A0356746, , , 10.49, , , , , , , 70.0
2413, GP20-107715, European Patent, 1990, A0356746, , , 10.37, , , , , , , 70.0
2414, GP20-107716, European Patent, 1990, A0356746, , , 10.19, , , 3.37, , , , 72.0
2415, GP20-107717, European Patent, 1990, A0356746, , , 10.23, , , 4.9, , , , 71.0
2416, GP20-107718, European Patent, 1990, A0356746, , 3.16, 10.96, , , , , , , 70.0
2417, GP20-107719, European Patent, 1990, A0356746, , , 10.55, 2.12, , , , , , 73.0
2418, GP20-107720, European Patent, 1990, A0356746, , , 10.53, 3.17, , , , , , 74.0
2419, GP20-107721, European Patent, 1990, A0356746, , , 10.5, 4.21, , , , , , 73.0
2420, GP20-107722, European Patent, 1990, A0356746, , , 10.47, 5.25, , , , , , 73.0
2421, GP20-107723, European Patent, 1990, A0356746, , , 10.54, , 1.47, , , , , 70.0
2422, GP20-107724, European Patent, 1990, A0356746, , , 10.47, , 2.92, , , , , 71.0
2423, GP20-107725, European Patent, 1990, A0356746, , , 10.4, , 4.35, , , , , 71.0
2424, GP20-107726, European Patent, 1990, A0356746, , , 10.33, , 5.76, , , , , 71.0
2425, GP20-107727, European Patent, 1990, A0356746, , , 10.26, , 7.15, , , , , 70.0
2426, GP20-107728, European Patent, 1990, A0356746, , , 10.21, , , , , , , 71.0
2427, GP20-107729, European Patent, 1990, A0356746, , , 10.03, , , , , , , 71.0
2428, GP20-107730, European Patent, 1990, A0356746, , , 9.85, , , , , , , 70.0
2429, GP20-107731, European Patent, 1990, A0356746, , , 9.96, , , , , , , 70.0
2430, GP20-107732, European Patent, 1990, A0356746, , , 9.67, , , , , , , 69.0
2431, GP20-107733, European Patent, 1990, A0356746, , , 9.39, , , , , , , 68.0
2432, GP20-107734, European Patent, 1990, A0356746, , , 10.33, , , , , , , 71.0
2433, GP20-107735, European Patent, 1990, A0356746, , , 10.2, , , , , , , 72.0
2434, GP20-107736, European Patent, 1990, A0356746, , , 9.94, , , , , , , 69.0
2435, GP20-107737, European Patent, 1990, A0356746, , , 9.81, , , , , , , 68.0
2436, GP20-107738, European Patent, 1990, A0356746, , , 10.49, , , , , , , 70.0
2437, GP20-107739, European Patent, 1990, A0356746, , , 9.94, , , , , , , 70.0
2438, GP20-107740, European Patent, 1990, A0356746, , , 10.37, , , , , , , 70.0
2439, GP20-107741, European Patent, 1990, A0356746, , , 9.81, , , , , , , 70.0
2440, GP20-107742, European Patent, 1990, A0356746, , , 10.26, , , 6.48, , , , 61.0
2441, GP20-107743, European Patent, 1990, A0356746, , , 9.91, , , 4.21, 6.4, , , 62.0
2442, GP20-107744, European Patent, 1990, A0356746, , , 9.92, , , , 9.53, , , 62.0
2443, GP20-107745, European Patent, 1990, A0356746, , , 9.92, , , 12.54, , , , 59.0
2444, GP20-107746, European Patent, 1990, A0356746, , , 9.61, , , 6.07, 9.23, , , 56.0
2445, GP20-107747, European Patent, 1990, A0356746, , , 9.32, , , , 17.89, , , 51.0
2446, GP20-107748, European Patent, 1990, A0356746, 6.95, , 11.62, , , , , , , 69.0
2447, GP20-107749, European Patent, 1990, A0356746, 5.08, , 11.34, , , , , , , 69.0
2448, GP20-107750, European Patent, 1990, A0356746, 5.08, , 11.34, , , , , , , 69.0
2449, GP20-107751, European Patent, 1990, A0356746, 3.32, , 11.09, , , , , , , 69.0
2450, GP20-107752, European Patent, 1990, A0356746, 3.32, , 11.09, , , , , , , 69.0
2451, GP20-107753, European Patent, 1990, A0356746, 1.63, , 10.93, , , , , , , 70.0
2452, GP20-107754, European Patent, 1990, A0356746, 1.57, , 10.53, , , , , , , 70.0
2453, GP20-107755, European Patent, 1990, A0356746, 3.24, , 5.51, , , , , , , 65.0
2454, GP20-107756, European Patent, 1990, A0356746, 1.58, , 7.91, , , , , , , 67.0
2455, GP20-107757, European Patent, 1990, A0356746, 1.72, 5.99, 11.52, , , , , , , 71.0
2456, GP20-107758, European Patent, 1990, A0356746, 3.5, 5.41, 11.72, , , , , , , 71.0
2457, GP20-107759, European Patent, 1990, A0356746, 1.66, 2.57, 11.12, , , , , , , 71.0
2458, GP20-107760, European Patent, 1990, A0356746, 5.2, 2.0, 11.59, , , , , , , 69.0
2459, GP20-107761, European Patent, 1990, A0356746, , , 10.58, 1.06, , , , , , 71.0
2460, GP20-107762, European Patent, 1990, A0356746, , , 13.05, , , , , , , 72.0
2461, GP20-107763, European Patent, 1990, A0356746, , , 8.08, , , , , , , 66.0
2462, CP20-107804, European Patent    Corning Inc. (US), 1990, A0365236, , , 1.7, , , 5.67, , , , 4.14
2463, CP20-107805, European Patent    Corning Inc. (US), 1990, A0365236, , , 1.7, , , 5.67, , , , 5.658
2464, CP20-107806, European Patent    Corning Inc. (US), 1990, A0365236, , 3.72, 2.18, , 1.8, 14.23, , , , 11.94
2465, CP20-107807, European Patent    Corning Inc. (US), 1990, A0365236, , 3.72, 2.18, , 1.8, 14.23, , , , 11.39
2466, CP20-107808, European Patent    Corning Inc. (US), 1990, A0365236, , 3.72, 2.18, , 1.8, 14.23, , , , 22.08
2467, CP20-107809, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.9, , , 10.89, , , , 8.418
2468, CP20-107810, European Patent    Corning Inc. (US), 1990, A0365236, , 3.71, 2.17, , 2.39, 13.88, , , , 10.35
2469, CP20-107811, European Patent    Corning Inc. (US), 1990, A0365236, , 3.71, 2.17, , 2.39, 13.88, , , , 23.46
2470, CP20-107812, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.07, , , 4.42, 6.71, , , 21.39
2471, CP20-107813, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.07, , , 4.42, 6.71, , , 16.56
2472, CP20-107814, European Patent    Corning Inc. (US), 1990, A0365236, 1.23, , 2.08, , , 4.44, 6.74, , , 22.08
2473, CP20-107815, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.04, , , 4.96, 4.71, , , 26.91
2474, CP20-107816, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.04, , , 4.96, 4.71, , , 29.6
2475, CP20-107817, European Patent    Corning Inc. (US), 1990, A0365236, 1.23, , 2.08, , , 4.44, 6.74, , , 16.97
2476, CP20-107818, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.04, , , 4.96, 4.71, , , 16.15
2477, CP20-107819, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.04, , , 4.96, 4.71, , , 19.53
2478, CP20-107820, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.15, , , 6.54, , , , 6.693
2479, CP20-107821, European Patent    Corning Inc. (US), 1990, A0365236, , , 1.5, , , 4.25, 4.8, , , 11.52
2480, CP20-107822, European Patent    Corning Inc. (US), 1990, A0365236, 1.2, , 2.03, , , 4.32, 4.69, , , 16.84
2481, GP20-107823, European Patent    Corning Inc. (US), 1990, A0365236, , , 2.04, , , 4.96, 4.71, , , 41.4
2482, GP20-108190, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.78, , , , , , , 72.0
2483, GP20-108191, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.72, 2.04, , , , , , 75.0
2484, GP20-108192, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.69, 3.05, , , , , , 74.0
2485, GP20-108193, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.64, 5.06, , , , , , 73.0
2486, GP20-108194, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.59, 6.59, , , , , , 66.0
2487, GP20-108195, European Patent    Schott Corp. (US), 1990, A0398198, , , 10.61, , , , , , , 70.0
