SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
68.2,23.9,0.3,0.3,3.5,2.7,0.0,82.32
60.9,27.3,2.3,2.3,2.8,2.1,0.0,96.04
71.95,0.76,0.75,11.07,14.99,0.12,0.49,98.0
71.68,1.61,2.68,9.89,13.11,0.5,0.12,87.0
78.33,0.0,0.0,0.0,0.0,21.67,0.0,53.0
71.84,0.0,0.0,0.0,0.0,28.16,0.0,49.0
65.68,0.0,0.0,0.0,0.0,34.32,0.0,47.0
76.36,16.18,5.18,0.0,0.0,0.0,0.0,66.93
75.0,16.31,6.77,0.0,0.0,0.0,0.0,62.79
73.77,19.26,5.71,0.0,0.0,0.0,0.0,63.48
73.33,19.62,5.17,0.0,0.0,0.0,0.0,69.0
77.15,16.16,4.79,0.0,0.0,0.0,0.0,80.04
72.35,18.83,6.92,0.0,0.0,0.0,0.0,76.59
64.32,24.82,8.99,0.0,0.0,0.0,0.0,79.35
63.77,24.53,9.82,0.0,0.0,0.0,0.0,93.15
74.97,17.94,7.09,0.0,0.0,0.0,0.0,67.62
76.36,16.18,5.18,0.0,0.0,0.0,0.0,69.0
73.77,19.26,5.71,0.0,0.0,0.0,0.0,62.79
77.15,16.16,4.79,0.0,0.0,0.0,0.0,80.73
74.76,16.26,6.43,0.0,0.0,0.0,0.0,69.0
72.35,18.83,6.92,0.0,0.0,0.0,0.0,80.04
64.32,24.82,8.99,0.0,0.0,0.0,0.0,86.25
63.77,24.53,9.82,0.0,0.0,0.0,0.0,77.28
65.0,25.0,10.0,0.0,0.0,0.0,0.0,86.24
82.25,0.0,0.0,0.0,0.0,17.75,0.0,53.04
77.27,0.0,0.0,0.0,0.0,22.73,0.0,52.17
72.35,0.0,0.0,0.0,0.0,27.65,0.0,47.51
64.01,0.0,0.0,0.0,0.0,35.99,0.0,47.25
76.09,0.0,0.0,0.0,0.0,23.91,0.0,50.9
73.37,0.0,0.0,0.0,0.0,26.63,0.0,49.5
70.09,0.0,0.0,0.0,0.0,29.91,0.0,48.0
63.42,0.0,0.0,0.0,0.0,36.58,0.0,44.6
61.31,0.0,0.0,0.0,0.0,38.69,0.0,43.4
56.43,0.0,0.0,0.0,0.0,43.57,0.0,40.7
62.16,15.45,5.49,0.0,8.47,3.98,0.0,70.0
61.14,17.23,2.01,0.0,12.73,4.52,0.0,71.0
58.48,18.59,4.01,0.0,11.85,5.02,0.0,72.0
59.76,15.51,2.5,0.0,15.51,4.26,0.0,66.0
60.98,17.03,2.0,0.0,10.72,5.5,0.0,68.0
61.61,17.06,2.01,0.0,10.74,5.51,0.0,68.0
61.43,17.45,1.99,0.0,12.06,5.45,0.0,72.0
61.21,17.4,1.98,0.0,12.02,5.44,0.0,72.0
