Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
218, GC07-044845, Schott AG (DE), 1981, ZK5-534553, *, *, , , , *, *, , , 0.238
219, GC07-044846, Schott AG (DE), 1981, ZKn7-508612, *, *, , , , *, *, , , 0.214
220, GC03-044847, Schott AG (DE), 1981, BaK1-573575, *, *, *, , , *, *, , , 0.253
221, GC03-044848, Schott AG (DE), 1981, BaK2-540597, *, *, *, , , *, *, , , 0.233
222, GC03-044849, Schott AG (DE), 1981, BaK4-569561, *, *, *, , , *, *, , , 0.241
223, GC03-044850, Schott AG (DE), 1981, BaK5-557587, *, *, *, , , *, *, , , 0.241
224, GC03-044851, Schott AG (DE), 1981, BaK6-574564, *, *, *, , , *, *, , , 0.241
225, GC03-044852, Schott AG (DE), 1981, BaK50-568580, *, *, *, , , *, *, , , 0.259
226, GC05-044854, Schott AG (DE), 1981, PSK2-569631, *, *, *, , , *, *, , , 0.237
227, GC05-044855, Schott AG (DE), 1981, PSK3-552635, *, *, *, , , *, *, , , 0.226
228, GC05-044856, Schott AG (DE), 1981, PSK50-558673, *, *, *, , , *, *, , , 0.26
229, GC05-044857, Schott AG (DE), 1981, PSK52-603654, *, *, *, , , *, *, , , 0.278
230, GC05-044858, Schott AG (DE), 1981, PSK53-620635, *, *, *, , , *, *, , , 0.287
231, GC05-044859, Schott AG (DE), 1981, BK1-510635, *, *, , , , *, *, , , 0.21
232, GC05-044860, Schott AG (DE), 1981, BK3-498651, *, *, , , , *, *, , , 0.204
233, GC05-044861, Schott AG (DE), 1981, BK6-531621, *, *, , , , *, *, , , 0.222
234, GC05-044862, Schott AG (DE), 1981, BK7-517642, *, *, , , , *, *, , , 0.208
235, GC05-044863, Schott AG (DE), 1981, UBK7-517643, *, *, , , , *, *, , , 0.212
236, GC05-044864, Schott AG (DE), 1981, BK8-520637, *, *, , , , *, *, , , 0.213
237, GC05-044865, Schott AG (DE), 1981, BK10-498670, *, *, , , , *, *, , , 0.205
238, GC02-044866, Schott AG (DE), 1981, BaLK1-526600, *, *, , , , *, *, , , 0.234
239, GC02-044867, Schott AG (DE), 1981, BaLKn3-518602, *, *, , , , *, *, , , 0.212
240, GC02-044868, Schott AG (DE), 1981, K3-518590, *, , *, , *, *, *, , , 0.22
241, GC02-044869, Schott AG (DE), 1981, K4-519574, *, , *, , *, *, *, , , 0.212
242, GC02-044870, Schott AG (DE), 1981, K5-522595, *, , *, , *, *, *, , , 0.227
243, GC02-044871, Schott AG (DE), 1981, K7-511604, *, , *, , *, *, *, , , 0.218
244, GC05-044872, Schott AG (DE), 1981, FK1-471673, *, *, *, , , , *, , , 0.251
245, GC05-044873, Schott AG (DE), 1981, FK3-465658, *, *, *, , , , *, , , 0.245
246, GC05-044874, Schott AG (DE), 1981, FK5-487704, *, *, *, , , , *, , , 0.205
247, GC05-044875, Schott AG (DE), 1981, FK51-487845, *, *, *, , , , *, , , 0.287
248, GC05-044876, Schott AG (DE), 1981, FK52-486818, *, *, *, , , , *, , , 0.29
249, GC05-044877, Schott AG (DE), 1981, FK54-437907, *, *, *, , , , *, , , 0.286
250, GC05-044878, Schott AG (DE), 1981, PK1-504669, *, *, , , , *, *, , , 0.204
251, GC05-044879, Schott AG (DE), 1981, PK2-518651, *, *, , , , *, *, , , 0.209
252, GC05-044880, Schott AG (DE), 1981, PK3-525647, *, *, , , , *, *, , , 0.207
253, GC05-044881, Schott AG (DE), 1981, PK50-521697, *, *, , , , *, *, , , 0.235
254, GC05-044882, Schott AG (DE), 1981, PK51-529770, *, *, , , , *, *, , , 0.293
255, GJ06-045925, J. Non-Crystalline Solids, 1974, v. 014  p. 0225, 61.78, 4.1, 19.53, , , 9.39, 0.07, , , 0.222
256, MJ02-046239, J. Non-Crystalline Solids, 1983, v. 056  p. 0331, 72.88, , 2.09, , , 10.55, 4.46, , , 0.245
257, MJ02-046240, J. Non-Crystalline Solids, 1983, v. 056  p. 0331, 72.88, , 2.09, , , 10.55, 4.46, , , 0.21
258, GC05-048207, Ohara Inc. (J), 1987, FK1-471674, *, *, *, , , , *, , , 0.235
259, GC05-048208, Ohara Inc. (J), 1987, FK3-465659, *, *, *, , , , *, , , 0.24
260, GC05-048209, Ohara Inc. (J), 1987, FK5-487702, *, *, *, , , , *, , , 0.227
261, GC05-048210, Ohara Inc. (J), 1987, FK01-497816, *, *, *, , , , *, , , 0.296
262, GC05-048211, Ohara Inc. (J), 1987, FK02-456903, *, *, *, , , , *, , , 0.298
263, GC05-048212, Ohara Inc. (J), 1987, PK1-504668, *, *, , , , *, *, , , 0.206
264, GC05-048213, Ohara Inc. (J), 1987, PK2-518650, *, *, , , , *, *, , , 0.205
265, GC05-048214, Ohara Inc. (J), 1987, PK3-525646, *, *, , , , *, *, , , 0.209
266, GC05-048215, Ohara Inc. (J), 1987, PSK1-548628, *, *, *, , , *, *, , , 0.234
267, GC05-048216, Ohara Inc. (J), 1987, PSK2-569632, *, *, *, , , *, *, , , 0.238
268, GC05-048217, Ohara Inc. (J), 1987, PSK3-552638, *, *, *, , , *, *, , , 0.228
269, GC05-048218, Ohara Inc. (J), 1987, PSK01-617628, *, *, *, , , *, *, , , 0.278
270, GC05-048219, Ohara Inc. (J), 1987, PSK02-618634, *, *, *, , , *, *, , , 0.292
271, GC05-048220, Ohara Inc. (J), 1987, PSK03-603655, *, *, *, , , *, *, , , 0.285
272, GC05-048221, Ohara Inc. (J), 1987, BK1-510636, *, *, , , , *, *, , , 0.209
273, GC05-048222, Ohara Inc. (J), 1987, BK3-498650, *, *, , , , *, *, , , 0.221
274, GC05-048223, Ohara Inc. (J), 1987, BK4-500660, *, *, , , , *, *, , , 0.204
275, GC05-048224, Ohara Inc. (J), 1987, BK6-531625, *, *, , , , *, *, , , 0.216
276, GC05-048225, Ohara Inc. (J), 1987, BK7-516642, *, *, , , , *, *, , , 0.207
277, GC05-048226, Ohara Inc. (J), 1987, BK10-498668, *, *, , , , *, *, , , 0.204
278, GC05-048227, Ohara Inc. (J), 1987, BK12-519645, *, *, , , , *, *, , , 0.207
279, GC02-048228, Ohara Inc. (J), 1987, BaLK1-526600, *, *, , , , *, *, , , 0.226
280, GC02-048229, Ohara Inc. (J), 1987, BaLK3-518603, *, *, , , , *, *, , , 0.222
281, GC02-048230, Ohara Inc. (J), 1987, K1-510621, *, , *, , *, *, *, , , 0.215
282, GC02-048231, Ohara Inc. (J), 1987, K2-516568, *, , *, , *, *, *, , , 0.209
283, GC02-048232, Ohara Inc. (J), 1987, K3-518590, *, , *, , *, *, *, , , 0.22
284, GC02-048233, Ohara Inc. (J), 1987, K5-522598, *, , *, , *, *, *, , , 0.218
285, GC02-048234, Ohara Inc. (J), 1987, K7-511605, *, , *, , *, *, *, , , 0.215
286, GC02-048235, Ohara Inc. (J), 1987, K10-501564, *, , *, , *, *, *, , , 0.238
287, GC02-048236, Ohara Inc. (J), 1987, K50-523600, *, , *, , *, *, *, , , 0.219
288, GC02-048237, Ohara Inc. (J), 1987, K01-523585, *, , *, , *, *, *, , , 0.224
289, GC07-048238, Ohara Inc. (J), 1987, ZK1-533580, *, *, , , , *, *, , , 0.238
290, GC07-048239, Ohara Inc. (J), 1987, ZK4-512581, *, *, , , , *, *, , , 0.215
291, GC07-048240, Ohara Inc. (J), 1987, ZK5-534555, *, *, , , , *, *, , , 0.238
292, GC07-048241, Ohara Inc. (J), 1987, ZK7-508608, *, *, , , , *, *, , , 0.213
293, GC03-048242, Ohara Inc. (J), 1987, BaK1-573578, *, *, *, , , *, *, , , 0.243
294, GC03-048243, Ohara Inc. (J), 1987, BaK2-540595, *, *, *, , , *, *, , , 0.231
295, GC03-048244, Ohara Inc. (J), 1987, BaK4-569563, *, *, *, , , *, *, , , 0.243
296, GC03-048245, Ohara Inc. (J), 1987, BaK5-557587, *, *, *, , , *, *, , , 0.229
297, GC03-048246, Ohara Inc. (J), 1987, BaK6-574565, *, *, *, , , *, *, , , 0.244
298, GC04-048273, Ohara Inc. (J), 1987, BaLF2-571508, *, , , , , *, *, , , 0.249
299, GC04-048274, Ohara Inc. (J), 1987, BaLF3-571530, *, , , , , *, *, , , 0.257
300, GC04-048275, Ohara Inc. (J), 1987, BaLF4-580537, *, , , , , *, *, , , 0.248
301, GC04-048276, Ohara Inc. (J), 1987, BaLF5-547536, *, , , , , *, *, , , 0.23
302, GC04-048277, Ohara Inc. (J), 1987, BaLF6-589532, *, , , , , *, *, , , 0.254
303, GC04-048278, Ohara Inc. (J), 1987, BaLF7-589512, *, , , , , *, *, , , 0.234
304, GC04-048287, Ohara Inc. (J), 1987, LLF1-548458, *, , , , , *, *, , , 0.212
305, GC04-048288, Ohara Inc. (J), 1987, LLF2-541472, *, , , , , *, *, , , 0.216
306, GC04-048289, Ohara Inc. (J), 1987, LLF3-560470, *, , , , , *, *, , , 0.221
307, GC04-048290, Ohara Inc. (J), 1987, LLF4-561452, *, , , , , *, *, , , 0.215
308, GC04-048291, Ohara Inc. (J), 1987, LLF6-532489, *, , , , , *, *, , , 0.205
309, GC04-048292, Ohara Inc. (J), 1987, LLF7-549456, *, , , , , *, *, , , 0.212
310, GC04-048293, Ohara Inc. (J), 1987, LLF8-533459, *, , , , , *, *, , , 0.236
311, GC04-048294, Ohara Inc. (J), 1987, BaF1-557486, *, , , , , *, *, , , 0.234
312, GC04-048295, Ohara Inc. (J), 1987, BaF2-570493, *, , , , , *, *, , , 0.241
313, GC04-048296, Ohara Inc. (J), 1987, BaF3-583464, *, , , , , *, *, , , 0.239
314, GC04-048297, Ohara Inc. (J), 1987, BaF4-606437, *, , , , , *, *, , , 0.245
315, GC04-048298, Ohara Inc. (J), 1987, BaF5-607492, *, , , , , *, *, , , 0.255
316, GC04-048299, Ohara Inc. (J), 1987, BaF6-589486, *, , , , , *, *, , , 0.243
317, GC04-048300, Ohara Inc. (J), 1987, BaF8-624471, *, , , , , *, *, , , 0.261
318, GC04-048301, Ohara Inc. (J), 1987, BaF9-643479, *, , , , , *, *, , , 0.267
319, GC04-048302, Ohara Inc. (J), 1987, BaF10-670473, *, , , , , *, *, , , 0.272
320, GC04-048303, Ohara Inc. (J), 1987, BaF11-667483, *, , , , , *, *, , , 0.277
321, GC04-048304, Ohara Inc. (J), 1987, BaF12-639449, *, , , , , *, *, , , 0.26
322, GC04-048305, Ohara Inc. (J), 1987, BaF13-669450, *, , , , , *, *, , , 0.272
323, GC04-048306, Ohara Inc. (J), 1987, BaF01-683447, *, , , , , *, *, , , 0.265
324, GC04-048307, Ohara Inc. (J), 1987, BaF03-686440, *, , , , , *, *, , , 0.273
325, GC04-048308, Ohara Inc. (J), 1987, BaF04-695422, *, , , , , *, *, , , 0.254
326, GC04-048309, Ohara Inc. (J), 1987, LF1-573426, *, , , , , *, *, , , 0.22
327, GC04-048310, Ohara Inc. (J), 1987, LF2-589411, *, , , , , *, *, , , 0.225
328, GC04-048311, Ohara Inc. (J), 1987, LF3-582421, *, , , , , *, *, , , 0.217
329, GC04-048312, Ohara Inc. (J), 1987, LF4-578415, *, , , , , *, *, , , 0.22
330, GC04-048313, Ohara Inc. (J), 1987, LF5-581408, *, , , , , *, *, , , 0.219
331, GC04-048314, Ohara Inc. (J), 1987, LF6-567428, *, , , , , *, *, , , 0.22
332, GC04-048315, Ohara Inc. (J), 1987, LF7-575415, *, , , , , *, *, , , 0.212
333, GC04-048316, Ohara Inc. (J), 1987, LF8-564438, *, , , , , *, *, , , 0.216
334, GC04-048317, Ohara Inc. (J), 1987, F1-626357, *, , , , , *, *, , , 0.226
335, GC04-048318, Ohara Inc. (J), 1987, F2-620363, *, , , , , *, *, , , 0.222
336, GC04-048319, Ohara Inc. (J), 1987, F3-613370, *, , , , , *, *, , , 0.221
337, GC04-048320, Ohara Inc. (J), 1987, F4-617366, *, , , , , *, *, , , 0.223
338, GC04-048321, Ohara Inc. (J), 1987, F5-603380, *, , , , , *, *, , , 0.221
339, GC04-048322, Ohara Inc. (J), 1987, F6-636354, *, , , , , *, *, , , 0.225
340, GC04-048323, Ohara Inc. (J), 1987, F8-596392, *, , , , , *, *, , , 0.222
341, GC04-048324, Ohara Inc. (J), 1987, F9-620381, *, , , , , *, *, , , 0.223
342, GC04-048325, Ohara Inc. (J), 1987, F10-624365, *, , , , , *, *, , , 0.224
343, GC04-048326, Ohara Inc. (J), 1987, F11-621359, *, , , , , *, *, , , 0.224
344, GC04-048327, Ohara Inc. (J), 1987, F16-593353, *, , , , , *, *, , , 0.238
345, GC04-048328, Ohara Inc. (J), 1987, BaSF1-626392, *, , , , , *, *, , , 0.231
346, GC04-048329, Ohara Inc. (J), 1987, BaSF2-664358, *, , , , , *, *, , , 0.241
347, GC04-048330, Ohara Inc. (J), 1987, BaSF3-607403, *, , , , , *, *, , , 0.23
348, GC04-048331, Ohara Inc. (J), 1987, BaSF4-651383, *, , , , , *, *, , , 0.27
349, GC04-048332, Ohara Inc. (J), 1987, BaSF5-603423, *, , , , , *, *, , , 0.235
350, GC04-048333, Ohara Inc. (J), 1987, BaSF6-668419, *, , , , , *, *, , , 0.266
351, GC04-048334, Ohara Inc. (J), 1987, BaSF7-702412, *, , , , , *, *, , , 0.275
352, GC04-048335, Ohara Inc. (J), 1987, BaSF8-723380, *, , , , , *, *, , , 0.279
353, GC04-048336, Ohara Inc. (J), 1987, BaSF10-650394, *, , , , , *, *, , , 0.258
354, GC04-048337, Ohara Inc. (J), 1987, BaSF12-670393, *, , , , , *, *, , , 0.248
355, GC04-048338, Ohara Inc. (J), 1987, BaSF01-702401, *, , , , , *, *, , , 0.269
356, GC04-048339, Ohara Inc. (J), 1987, BaSF07-702412, *, , , , , *, *, , , 0.261
357, GC04-048340, Ohara Inc. (J), 1987, BaSF08-723380, *, , , , , *, *, , , 0.263
358, GC04-048341, Ohara Inc. (J), 1987, SF1-717295, *, , , , , *, *, , , 0.233
359, GC04-048342, Ohara Inc. (J), 1987, SF2-648338, *, , , , , *, *, , , 0.229
360, GC04-048343, Ohara Inc. (J), 1987, SF3-740283, *, , , , , *, *, , , 0.237
361, GC04-048344, Ohara Inc. (J), 1987, SF4-755275, *, , , , , *, *, , , 0.239
362, GC04-048345, Ohara Inc. (J), 1987, SF5-673321, *, , , , , *, *, , , 0.23
363, GC04-048346, Ohara Inc. (J), 1987, SF6-805254, *, , , , , *, *, , , 0.244
364, GC04-048347, Ohara Inc. (J), 1987, SF7-640345, *, , , , , *, *, , , 0.228
365, GC04-048348, Ohara Inc. (J), 1987, SF8-689311, *, , , , , *, *, , , 0.231
366, GC04-048349, Ohara Inc. (J), 1987, SF9-654336, *, , , , , *, *, , , 0.225
367, GC04-048350, Ohara Inc. (J), 1987, SF10-728285, *, , , , , *, *, , , 0.23
368, GC04-048351, Ohara Inc. (J), 1987, SF11-785257, *, , , , , *, *, , , 0.24
369, GC04-048352, Ohara Inc. (J), 1987, SF12-648338, *, , , , , *, *, , , 0.229
370, GC04-048353, Ohara Inc. (J), 1987, SF13-741278, *, , , , , *, *, , , 0.232
371, GC04-048354, Ohara Inc. (J), 1987, SF14-762266, *, , , , , *, *, , , 0.237
372, GC04-048355, Ohara Inc. (J), 1987, SF15-699301, *, , , , , *, *, , , 0.23
373, GC04-048356, Ohara Inc. (J), 1987, SF18-722292, *, , , , , *, *, , , 0.233
374, GC04-048357, Ohara Inc. (J), 1987, SF19-667331, *, , , , , *, *, , , 0.224
375, GC04-048358, Ohara Inc. (J), 1987, SF01-720293, *, , , , , *, *, , , 0.233
376, GC04-048359, Ohara Inc. (J), 1987, SF03-847239, *, , , , , *, *, , , 0.25
377, GC04-048360, Ohara Inc. (J), 1987, SF04-751277, *, , , , , *, *, , , 0.237
378, GC04-048361, Ohara Inc. (J), 1987, SFL6-805254, *, , , , , *, *, , , 0.261
379, GC04-048362, Ohara Inc. (J), 1987, SFL11-785257, *, , , , , *, *, , , 0.257
380, GC04-048363, Ohara Inc. (J), 1987, SFL14-762265, *, , , , , *, *, , , 0.251
381, GC04-048364, Ohara Inc. (J), 1987, SFL03-847238, *, , , , , *, *, , , 0.262
382, GC05-048365, Ohara Inc. (J), 1987, KzF2-529517, *, *, *, , , , *, , , 0.213
383, GC05-048366, Ohara Inc. (J), 1987, KzF4-570481, *, *, *, , , , *, , , 0.216
384, GC05-048367, Ohara Inc. (J), 1987, KzF5-521526, *, *, *, , , , *, , , 0.215
385, GC05-048368, Ohara Inc. (J), 1987, KzF6-527511, *, *, *, , , , *, , , 0.208
386, GC05-048369, Ohara Inc. (J), 1987, PKS1-517696, *, *, *, , , *, *, , , 0.239
387, GC04-048378, Ohara Inc. (J), 1987, SFS1-923209, *, , , , , *, *, , , 0.261
388, GC04-048379, Ohara Inc. (J), 1987, SFS3-785262, *, , , , , *, *, , , 0.239
389, GC04-048380, Ohara Inc. (J), 1987, SFS5-762271, *, , , , , *, *, , , 0.239
390, GC04-048381, Ohara Inc. (J), 1987, SFS01-923213, *, , , , , *, *, , , 0.265
391, GC04-048382, Ohara Inc. (J), 1987, SFS02-915212, *, , , , , *, *, , , 0.264
392, GC04-048383, Ohara Inc. (J), 1987, SFSL3-785263, *, , , , , *, *, , , 0.257
393, GC20-051211, Schott AG (DE),     , LG-760, , , , , , , *, , , 0.267
394, GC20-051213, Schott AG (DE),     , LG-750, , , *, , , , *, , , 0.256
395, GC04-051346, Corning Inc. (US),     , 0010, 63.0, , 1.0, , , 8.0, 6.0, , , 0.21
396, GC02-051347, Corning Inc. (US), 1976, 0070, 71.0, , 3.0, 5.0, 7.0, 13.0, 1.0, , , 0.22
397, GC02-051349, Corning Inc. (US),     , 0080, 73.0, , 1.0, 4.0, 5.0, 17.0, , , , 0.22
398, GC04-051354, Corning Inc. (US), 1982, 0120, 56.0, , 2.0, , , 4.0, 9.0, , , 0.22
399, GC04-051356, Corning Inc. (US),     , 0137, 52.5, , 1.0, , , 0.5, 13.0, , , 0.23
400, GC04-051357, Corning Inc. (US),     , 0138, 55.1, , 2.04, 2.04, 3.06, 6.12, 8.16, , , 0.24
401, GC07-051358, Corning Inc. (US), 1980, 0211, 65.0, 9.0, 2.0, , , 7.0, 7.0, , , 0.22
402, GC02-051362, Corning Inc. (US), 1976, 0317, 61.0, , 17.0, 4.0, , 13.0, 3.0, , , 0.22
403, GC06-051381, Corning Inc. (US), 1972, 1720, 62.0, 5.0, 17.0, , 8.0, 1.0, 7.0, , , 0.24
404, GC04-051398, Corning Inc. (US), 1976, 1990, 41.0, , , , , 5.0, 12.0, , , 0.25
405, GC05-051402, Corning Inc. (US), 1976, 3320, 76.0, 15.0, 2.0, , , 4.0, 2.0, , , 0.19
406, GC07-051409, Corning Inc. (US), , 6720, 60.0, 1.0, 10.0, , 5.0, 8.0, 2.0, , , 0.21
407, GC05-051411, Corning Inc. (US), 1976, 7040, 67.0, 23.0, 3.0, , , 4.0, 3.0, , , 0.23
408, GC05-051414, Corning Inc. (US), 1976, 7052, 64.0, 19.0, 8.0, , , 2.0, 3.0, , , 0.22
409, GC05-051415, Corning Inc. (US), 1976, 7056, 68.0, 18.0, 3.0, , , 1.0, 9.0, , , 0.21
410, GC05-051420, Corning Inc. (US), 1976, 7070, 72.0, 25.0, 1.0, , , 0.5, 1.0, , , 0.22
411, GC05-051454, Corning Inc. (US),     , 7760, 78.0, 15.0, 2.0, , , 3.0, 1.0, , , 0.2
412, GC04-051479, Corning Inc. (US), , 8161, *, , , , , , *, , , 0.24
413, GC03-051513, Corning Inc. (US),     , 9068, 65.0, , 2.0, 1.0, 2.0, 7.0, 9.0, , , 0.23
414, XC06-051531, Corning Inc. (US), , 9608, 72.23, , 17.72, , , 0.41, 0.1, , , 0.24
415, XC03-051539, Corning Inc. (US),     , 9658, 46.0, 7.0, 16.0, 17.0, , , 10.0, , , 0.26
416, GC03-052087, AGC (J),     , 5008, *, , , , *, *, *, , , 0.21
417, GC03-052088, AGC (J),     , 5007S, *, , , , *, *, *, , , 0.21
418, GC03-052089, AGC (J),     , 5001, *, , , , *, *, *, , , 0.21
419, GC03-052090, AGC (J),     , 5001D, *, , , , *, *, *, , , 0.21
420, GC03-052091, AGC (J),     , 5018, *, , , , *, *, *, , , 0.21
421, GC03-052092, AGC (J),     , 5017, *, , , , *, *, *, , , 0.21
422, GC03-052093, AGC (J),     , 5028B, *, , , , *, *, *, , , 0.21
423, GC04-052094, AGC (J),     , 9008HL, *, , , , , *, *, , , 0.19
424, GC04-052095, AGC (J),     , 9001HL, *, , , , , *, *, , , 0.19
425, GC04-052096, AGC (J),     , 0138, *, , , , , *, *, , , 0.21
426, GC04-052097, AGC (J),     , 0150, *, , , , , *, *, , , 0.23
427, GC04-052098, AGC (J),     , 0120, *, , , , , *, *, , , 0.23
428, GC03-052099, AGC (J),     , 5028, *, , , , *, *, *, , , 0.21
429, GC03-052100, AGC (J),     , 5007, *, , , , *, *, *, , , 0.21
430, GC02-052104, AGC (J), , Sunlux-TBL35, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
431, GC02-052105, AGC (J), , Sunlux-TGR25, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
432, GC02-052106, AGC (J), , Sunlux-TGL12, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
433, GC02-052107, AGC (J), , SunCut-P-Bronze, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
434, GC02-052108, AGC (J), , SunCut-P-Grey, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
435, GC02-052109, AGC (J), , SunCut-P-Blue, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
436, GC02-052110, AGC (J), , SunCut-P-Pearl, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
437, GC02-052111, AGC (J), , SunBronze, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
438, GC02-052112, AGC (J), , SunGrey, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
439, GC02-052113, AGC (J), , SunBlue, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
440, GC02-052114, AGC (J), , Float-Clear, 72.0, , 2.0, 3.0, 9.0, 14.0, , , , 0.25
441, GC05-052248, HARIO (J),     , HAR10-32, 80.96, 12.63, 2.2, , , 3.81, 0.4, , , 0.2
442, GC04-052304, Ohara Inc. (J), , SF05, *, , , , , *, *, , , 0.253
443, GC02-052312, Philips (NL),     , Philips-160, 70.0, 2.6, 1.5, , , 9.1, 9.7, , , 0.25
444, XC06-052323, Photon Ceramics (J), 1980, Photoveel, *, , *, *, , , *, , , 0.27
445, GC03-052362, Matsunami Glass (J), , 0030, *, , , , *, , *, , , 0.2
446, GC02-052373, Matsunami Glass (J), , 7622, *, , , , , *, *, , , 0.29
447, GJ02-054781, J. Non-Crystalline Solids, 1973, v. 013  p. 0399, 78.33, , , , , , 21.67, , , 0.167
448, GJ02-054782, J. Non-Crystalline Solids, 1973, v. 013  p. 0399, 65.68, , , , , , 34.32, , , 0.168
449, GJ02-054783, J. Non-Crystalline Solids, 1973, v. 013  p. 0399, 56.43, , , , , , 43.57, , , 0.17
450, GI06-055046, Proc. ICG, 1980, v. 001  p. 0469, 58.0, , 20.0, 2.0, 3.0, 13.0, 4.0, , , 0.22
451, GI02-059416, Proc. ICG, 1986, v. 001  p. 0233, 62.63, , 0.3, , 5.71, 14.23, 0.3, , , 0.21
452, GI02-059417, Proc. ICG, 1986, v. 001  p. 0233, 56.5, , , , , 15.3, 0.9, , , 0.23
453, XJ08-062675, J. American Ceramic Soc., 1972, v. 055  p. 0446, 60.56, , , 13.51, , , 13.51, , , 0.26
454, XJ08-062676, J. American Ceramic Soc., 1972, v. 055  p. 0446, 62.0, , , 16.4, , , 11.0, , , 0.25
455, GP20-065229, Japanese Patent    Schott Corp. (US), 1987, A216938, , 2.32, , , , , 9.41, , , 0.257
456, GP20-065230, Japanese Patent    Schott Corp. (US), 1987, A216938, , 5.08, , , , , 10.31, , , 0.257
457, GP20-065231, Japanese Patent    Schott Corp. (US), 1987, A216938, , 7.69, , , , , 6.94, , , 0.212
458, GP09-065232, Japanese Patent    Schott Corp. (US), 1987, A216938, 4.71, 8.18, , , , , 7.38, , , 0.237
459, GP20-065233, Japanese Patent    Schott Corp. (US), 1987, A216938, , 8.05, , , , , 7.26, , , 0.247
460, GP09-065234, Japanese Patent    Schott Corp. (US), 1987, A216938, 7.37, 11.39, , , , , 3.85, , , 0.208
461, GP09-065235, Japanese Patent    Schott Corp. (US), 1987, A216938, 9.77, 2.83, , , , , 3.83, , , 0.25
462, GP20-065236, Japanese Patent    Schott Corp. (US), 1987, A216938, , 2.31, , , , , 9.38, , , 0.257
463, GP20-065237, Japanese Patent    Schott Corp. (US), 1987, A216938, , 5.07, , , , , 10.29, , , 0.257
464, GP20-065238, Japanese Patent    Schott Corp. (US), 1987, A216938, , 7.68, , , , , 6.93, , , 0.212
465, GP09-065239, Japanese Patent    Schott Corp. (US), 1987, A216938, 4.7, 8.17, , , , , 7.37, , , 0.237
466, GP20-065240, Japanese Patent    Schott Corp. (US), 1987, A216938, , 8.03, , , , , 7.25, , , 0.247
467, GP09-065241, Japanese Patent    Schott Corp. (US), 1987, A216938, 7.35, 11.36, , , , , 3.84, , , 0.208
468, GP09-065242, Japanese Patent    Schott Corp. (US), 1987, A216938, 9.75, 2.82, , , , , 3.82, , , 0.25
469, GC05-066020, Hoya Corp. (J), , FC5-487-704, *, *, *, , , , *, , , 0.245
470, GC05-066024, Hoya Corp. (J), , PC2-518-652, *, *, , , , *, *, , , 0.208
471, GC05-066025, Hoya Corp. (J), , PC3-525-646, *, *, , , , *, *, , , 0.214
472, GC05-066026, Hoya Corp. (J), , PCS1-517-697, *, *, *, , , *, *, , , 0.23
473, GC05-066027, Hoya Corp. (J), , PCD2-569-631, *, *, *, , , *, *, , , 0.242
474, GC05-066028, Hoya Corp. (J), , PCD3-552-634, *, *, *, , , *, *, , , 0.231
475, GC05-066029, Hoya Corp. (J), , PCD4-618-634, *, *, *, , , *, *, , , 0.293
476, GC05-066031, Hoya Corp. (J), , PCD53-620-635, *, *, *, , , *, *, , , 0.294
477, GC05-066032, Hoya Corp. (J), , BSC1-510-634, *, *, , , , *, *, , , 0.214
478, GC05-066033, Hoya Corp. (J), , BSC3-498-651, *, *, , , , *, *, , , 0.204
479, GC05-066035, Hoya Corp. (J), , BSC6-531-621, *, *, , , , *, *, , , 0.227
480, GC05-066036, Hoya Corp. (J), , BSC7-517-642, *, *, , , , *, *, , , 0.214
481, GC02-066037, Hoya Corp. (J), , BaCL1-526-601, *, *, , , , *, *, , , 0.238
482, GC02-066038, Hoya Corp. (J), , BaCL3-518-604, *, *, , , , *, *, , , 0.23
483, GC02-066040, Hoya Corp. (J), , C3-518-590, *, , *, , *, *, *, , , 0.227
484, GC02-066041, Hoya Corp. (J), , C5-522-595, *, , *, , *, *, *, , , 0.228
485, GC02-066042, Hoya Corp. (J), , C7-511-605, *, , *, , *, *, *, , , 0.221
